"","GSE91074_VEEV_vs_Control"
"110796",-0.387
"110809",-0.08252
"110816",-0.1803
"110821",-0.3015
"110826",-0.1408
"110829",0.310633333333333
"110834",0.0083
"110835",0.1193
"110842",-0.0178
"110854",-0.1333
"110855",-0.0533
"110876",-0.52415
"110877",-0.0858
"110880",-0.0948
"110891",-0.3453
"110893",-0.1793
"110902",-0.1057
"110911",-0.02594
"110935",-0.0828
"110948",-0.3658
"110956",1.8539
"110957",-0.0622
"110958",-0.0946
"110959",0.0099
"110960",0.2585
"110962",-0.1517
"111173",-0.208133333333333
"111174",-0.0184
"111175",-0.1035
"111970",-0.7794
"111975",-0.0657
"112403",0.0451
"112405",-0.2767
"112406",-0.075
"112407",0.116
"112417",0.0137
"112418",-0.0525
"11287",-0.0878
"11298",-0.2123
"11302",-0.43
"11303",0.0920666666666667
"11304",-0.3911
"11305",-0.3926
"11306",-0.0776
"11307",0.1267
"11308",-0.217625
"11350",-0.3268
"11363",0.6515
"11364",-0.5231
"11370",-0.0019
"113846",-0.0219
"113847",-0.0944
"113848",-0.1573
"113851",-0.2862
"113852",-0.0642
"113853",-0.2009
"113854",-0.2272
"113855",0.0649
"113856",-0.116
"113857",-0.0249
"113859",-0.1578
"113860",-0.0014
"113862",0.019
"113863",-0.0364
"113864",-0.1576
"113865",0.023
"113868",0.27
"11409",-0.1588
"114128",-0.223033333333333
"114141",-0.1973
"114142",-0.3125
"114143",-0.03945
"11416",-0.1066
"11418",-0.3318
"11421",-0.1061
"114229",-0.1715
"11423",0.2599
"114230",-0.0527
"114249",-0.20176
"114255",-0.3196
"11426",-0.212
"11428",-0.29165
"11429",-0.3296
"11430",-0.11835
"114301",-0.0216
"114304",-0.09835
"11431",-0.12472
"11432",0.268533333333333
"11433",1.0956
"114332",-0.35445
"11434",-0.1616
"11435",-0.0072
"11438",-0.10395
"11440",-0.15635
"11441",-0.0562
"11443",0.1827
"11444",-0.0986
"11447",-0.1609
"114479",-0.0771
"11448",0.0117
"11449",-0.0574
"11450",0.0674
"11451",0.0063
"114565",0.0837
"114566",2e-04
"114570",-0.2312
"114584",2.1249
"11459",-0.0994
"114601",-0.1598
"114602",-0.3812
"114606",-0.3657
"114615",-0.1569
"11464",-0.0719
"114640",-0.2067
"114641",-0.0461
"114642",0.00185
"114643",0.986
"114644",0.10675
"114654",-0.076
"114660",0.1542
"114661",-0.0452
"114662",-0.0588
"114663",-0.1434
"114664",-0.355
"114673",-0.0739
"114674",-0.1962
"114679",0.1602
"11468",0.0226
"11470",-0.1439
"11471",-0.2234
"114712",-7e-04
"114713",0.0963
"114714",-0.2239
"114715",0.192
"114716",-0.1037
"11472",-0.4173
"11474",-0.1651
"114741",0.0099
"11475",-0.2453
"11477",0.06765
"11479",-0.26825
"11480",-0.26025
"11481",-0.532
"11482",0.6269
"11484",-0.5141
"11486",0.8813
"114863",-0.0413
"11487",-0.0593
"114873",-0.26825
"114874",-0.0886
"114875",-0.0586
"11488",-0.4098
"114886",-0.4887
"114889",-0.06575
"11489",0.0069
"114893",-0.15492
"114896",0.04105
"11490",-0.10565
"11491",0.310933333333333
"11492",-0.2004
"11495",-0.0745
"11496",-0.1995
"11497",-0.0497
"11499",-0.0217
"11500",-0.0838
"11501",0.9735
"11502",0.3555
"11504",1.0312
"11512",-0.3453
"11513",0.292233333333333
"11514",-0.7222
"11515",-0.4784
"11516",0.0525
"11517",-0.02025
"11518",-0.304366666666667
"11519",-0.1966
"11520",1.6566
"11522",-0.0987
"11529",-0.03345
"11532",-0.21
"11534",-0.4274
"11535",0.743
"11536",0.1538
"11537",-0.0207
"11539",-0.2972
"11540",-0.30505
"11541",-0.2729
"11544",0.0104
"11545",-0.26625
"11546",-0.052
"11548",-0.0887
"115485607",-0.0173
"115486481",-0.1636
"115486898",-0.0777
"11549",-0.0833
"11551",-0.2796
"11552",-0.117
"11553",-0.4458
"11554",-0.5325
"11555",-0.4159
"11556",-0.0953
"11564",0.1519
"11565",-0.0609
"11566",-0.1974
"11567",-0.0266
"11568",-0.0172
"11569",0.0104
"11571",-0.0932
"11572",0.0071
"11576",0.0716
"11595",-0.105
"11596",-0.0204
"11600",0.3771
"11601",0.6507
"11602",-0.0757
"11603",0.1986
"11604",0.1535
"11605",0.99365
"11606",-0.6748
"11609",-0.0547
"11610",0.1684
"11611",-0.0774
"11614",-0.0244
"11622",-0.1054
"11624",-0.2064
"11625",-0.006
"11628",-0.1017
"11629",2.4584
"11630",1.627
"11632",-0.0932
"11634",-0.2253
"11636",-0.2953
"11637",0.4305
"11639",-0.4567
"11640",-0.40785
"11642",-0.058
"11643",-0.0395
"11647",-0.2479
"11648",-0.0294
"11650",-0.1213
"11651",-0.2727
"11652",0.04205
"11655",5e-04
"11656",-0.9145
"11657",-0.1794
"11658",-0.09615
"11666",0.1959
"11668",-0.0267
"11669",-0.6956
"11670",-0.127
"116701",0.8987
"11671",-0.0224
"116732",-0.0018
"116733",-0.1857
"11674",-0.02305
"116746",-0.0793
"116748",0.0481
"11676",-0.3489
"116810",-0.2047
"116811",-0.0606
"11682",0.194
"116838",-0.63295
"11684",-0.11435
"116847",-0.6551
"116848",0.0168
"11685",-0.0946
"116852",0.0743
"11686",-0.3217
"11687",-0.0974
"116870",-0.1984
"116871",0.0228
"116872",-0.0185
"11688",-0.2544
"116891",0.26045
"11690",1.4328
"116903",0.6205
"116904",-0.1853
"116913",-0.0295
"116914",-0.19195
"11692",0.02875
"116939",-0.5392
"11694",-0.1739
"116940",0.3797
"11695",-0.1541
"11698",0.0145
"11699",-0.1178
"117004",-0.0867
"117005",-0.1147
"11704",-0.0493
"11705",-0.0911
"117066",-0.0608
"117109",-0.5483
"117146",-0.3145
"117147",-0.0121
"117148",-0.3867
"117149",0.4142
"117150",-0.28765
"117158",-0.1752
"117160",-0.3335
"117167",0.76875
"11717",1.1929
"117171",0.5375
"117172",0.0118
"117197",-0.1481
"117198",-0.492133333333333
"11720",-0.0963
"11722",-0.2428
"11727",-0.0097
"11731",-0.0035
"11732",-0.3482
"11733",-0.236466666666667
"11735",-0.414766666666667
"11736",1.1626
"11737",-0.116733333333333
"11739",-0.199966666666667
"11740",-0.1842
"11744",-0.0805
"11745",0.9959
"11746",1.95075
"11747",0.4561
"11749",0.32585
"11750",0.4429
"11752",-0.06235
"11754",-0.1694
"11757",-0.1309
"11758",0.2743
"117589",-0.0801
"117590",-0.1231
"117591",0.1578
"117592",-0.1445
"117599",0.0593333333333333
"117600",0.0778
"117606",-0.2686
"11761",0.1064
"11764",-0.1145
"11765",0.0362
"11766",0.0605
"11767",-0.0539
"11768",-0.0526
"11769",-0.0882
"11770",-0.00635
"11771",-0.2597
"11772",-0.176833333333333
"11773",-0.0325
"11774",0.0639
"11775",-0.221
"11776",-0.0624
"11777",-0.1307
"11778",-0.000549999999999995
"11781",-0.1125
"11782",-0.2662
"11783",0.39355
"11784",-0.4474
"11785",-0.33115
"11787",-0.145566666666667
"11789",-0.209566666666667
"11790",-0.451675
"11792",0.00143333333333333
"11793",-0.0488333333333333
"11796",1.5257
"11797",0.5008
"11798",0.05498
"11799",0.5824
"11800",-0.0601
"11801",0.0268
"11803",-0.26625
"11804",-0.32138
"11806",-0.08115
"11807",-0.0722
"11808",-0.1569
"11810",2.3148
"11811",-0.0981
"11812",-0.1759
"11814",0.7425
"11815",1.9575
"11816",-0.4068
"11818",-0.2495
"11819",-0.115233333333333
"11820",-0.11155
"11821",0.11625
"11826",0.0488
"11827",-0.124
"11828",-0.0783
"11829",0.969
"11830",-0.1064
"11832",0.0313
"11833",-0.0348
"11834",-0.020275
"11835",0.0779
"11836",0.1863
"11838",-1.0259
"11839",0.0195
"11840",-0.0134
"11841",-0.02295
"11842",-0.188433333333333
"11843",0.8002
"11844",-0.1917
"118445",-0.5914
"118446",-0.2395
"118449",-0.3181
"11845",0.4591
"118451",-0.13855
"118452",-0.1796
"118454",-0.227
"11846",1.6186
"11847",-0.1135
"11848",0.23315
"11852",-0.0497
"11853",1.91435
"11854",0.2063
"11855",-0.5153
"11856",-0.0964
"11857",1.1098
"11858",-0.4511
"11859",0.1105
"11861",0.1705
"11863",-0.1205
"11864",-0.15595
"11865",-0.3816
"11867",1.9973
"11870",-0.01545
"11871",0.0249
"11872",0.111
"11875",-0.116
"11876",-0.0293
"11877",-0.1677
"11878",-0.3989
"11883",-0.2883
"11886",0.0637
"11889",-0.1634
"11890",-0.1005
"11891",-0.1
"11899",-0.3827
"11905",0.0251
"11906",-0.0769
"11907",-0.12095
"11908",0.2201
"11909",-0.223487985
"11910",2.462
"11911",0.5258
"11920",0.6992
"11921",-0.1736
"11922",-1.5969
"11923",-0.0402
"11924",-0.1735
"11925",-0.12095
"11927",-0.0323
"11928",-0.4387
"11931",-0.14995
"11932",0.13685
"11933",0.4332
"11936",-0.13925
"11937",-0.1743
"11938",-0.232
"11941",-0.6309
"11944",-0.1371
"11945",-0.1629
"11946",-0.16895
"11947",-0.169
"11949",-0.1691
"11950",-0.1122
"11951",-0.3449
"11957",-0.153
"11958",-0.1549
"11964",-0.1646
"11966",0.09315
"11972",-0.24
"11973",-0.1144
"11974",0.4009
"11975",-0.128866666666667
"11977",0.43035
"11979",-0.1833
"11980",0.2487
"11981",-0.08075
"11982",0.2811
"11983",-0.1845
"11987",-0.0186
"11988",0.0319666666666667
"11989",0.2372
"11990",-0.1467
"11991",0.1846
"11992",-0.2771
"11993",0.2039
"11994",0.0584
"11997",-0.1507
"11998",0.0081
"12000",-0.0876
"12005",-0.04885
"12006",-0.134
"12007",-0.2518
"12009",-0.3342
"12010",3.0361
"12012",-0.06645
"12013",0.7023
"12014",-0.1959
"12015",-0.1375
"12017",0.1871
"12018",0.39465
"12020",-0.1645
"12021",0.0942
"12022",-0.0664
"12023",0.0762
"12028",0.1718
"12029",0.0641
"12032",-1.0137
"12033",-0.1884
"12034",-0.0601333333333333
"12035",-0.0144
"12036",-0.1047
"12038",-0.01615
"12039",-0.3961
"12040",-0.0356
"12041",-0.1973
"12042",0.125466666666667
"12043",-0.0929
"12048",-0.0498
"12049",-0.1861
"12050",-0.218633333333333
"12051",1.33
"12053",0.40735
"12054",-0.0291
"12055",0.098
"12057",-0.0265
"12061",-0.1374
"12062",-0.0379
"12064",-0.1714
"12068",-0.01375
"12069",-0.1431
"12070",-0.1348
"12075",-0.0716
"12091",-0.2139
"121021",-0.1873
"121022",0.8739
"12111",0.8048
"12116",-0.1387
"12121",-0.3663
"12122",1.1819
"12123",-0.1315
"12124",-0.0181666666666667
"12125",0.3458
"12140",0.3845
"12142",0.2434
"12143",-0.1894
"12144",-0.0936
"12145",0.125
"12151",-0.2565
"12153",-0.29175
"12154",-0.03
"12155",0.0617
"12156",0.254
"12159",-0.3481
"12160",0.0419
"12161",-0.503
"12162",0.00349999999999998
"12163",-0.0929
"12164",-0.0102
"12165",-0.1551
"12166",-0.088275
"12167",0.0027
"12168",0.0512
"12169",-0.162
"12173",0.0237
"12175",0.344075
"12176",-0.1386
"12177",-0.582966666666667
"12180",-0.19895
"12181",-0.1038
"12182",1.05815
"12183",-0.277633333333333
"12189",0.0388
"12190",-0.2117
"12192",0.2442
"12193",0.4245
"12209",-0.1767
"12211",0.199866666666667
"12212",0.3238
"12215",-0.3376
"12217",-0.2271
"12223",0.31315
"12224",-3e-04
"12226",0.50705
"12227",-0.08965
"12229",0.3645
"12231",0.20355
"12234",-0.16385
"12235",0.1442
"12236",-0.1409
"12237",0.02185
"12257",3.9621
"12258",4.2095
"12259",1.6621
"12260",1.8081
"12261",-0.1306
"12262",1.7189
"12263",1.3743
"12265",0.5534
"12266",4.0088
"12267",1.92755
"12269",-0.0585
"12270",-0.1135
"12273",0.2571
"12274",-0.0052
"12279",-0.1188
"12282",0.016
"12283",-0.1909
"12286",-0.5544
"12287",-0.2586
"12288",-0.3492
"12289",-0.3249
"12290",-0.2435
"12291",-0.3983
"12292",0.2521
"12293",-0.37555
"12294",-0.5107
"12295",-0.389533333333333
"12296",-0.1267
"12297",-0.7304
"12298",-0.55845
"12299",0.0124
"12300",-0.4131
"12301",0.3201
"12304",0.14975
"12305",0.10638
"12306",2.4676
"12307",-0.5729
"12308",-0.0718
"12309",-0.125
"12310",0.742
"12311",0.2138
"12313",-0.1007
"12314",-0.32195
"12315",-0.30455
"12316",0.0691
"12317",0.2878
"12319",-0.89365
"12321",0.1868
"12322",-0.7875
"12323",-0.5081
"12325",-0.53885
"12326",-0.4087
"12328",0.2287
"12330",-0.0513666666666667
"12331",0.13125
"12332",2.4738
"12333",0.07475
"12334",0.1266
"12335",0.1459
"12336",0.273
"12337",0.1483
"12338",-0.0506
"12339",-0.266933333333333
"12340",0.46265
"12343",0.17695
"12344",-0.1324
"12345",-0.0334
"12346",-0.0826
"12348",-0.7395
"12349",-0.5444
"12350",-0.09185
"12351",-1.0571
"12352",-0.1388
"12353",-0.0545
"12354",-0.5177
"12355",0.0733
"12359",-0.4689
"12361",0.111166666666667
"12362",2.9555
"12363",4.1369
"12364",1.97015
"12365",-0.0862
"12366",0.4533
"12367",0.27955
"12368",-0.0446
"12369",1.4459
"12370",2.015
"12371",-0.2398
"12372",-0.2427
"12373",-0.313
"12374",-0.0828
"12380",0.55125
"12385",0.2751
"12386",-0.3719
"12387",0.128133333333333
"12388",-0.0359
"12389",-0.274
"12390",-0.1415
"12391",-0.0811
"12393",0.122366666666667
"12394",0.268175
"12395",-0.54685
"12396",-0.2347
"12398",-0.335275
"12399",-0.0666
"12400",0.2228
"12401",-0.0298
"12402",-0.0853
"12404",-0.4214
"12406",0.9213
"12408",-0.4098
"12409",-0.3203
"12411",-0.2378
"12412",-0.13566
"12416",-0.2215
"12417",-0.2276
"12418",0.2336
"12419",-0.03895
"12421",-0.3483
"12424",-0.5136
"12425",-0.1505
"12426",-0.2417
"12427",0.045
"12428",0.0827
"12442",0.2105
"12443",0.9555
"12444",0.2809
"12445",0.6677
"12447",-0.2628
"12448",-0.0149
"12449",0.0511
"12450",0.191
"12452",-0.56515
"12453",-0.2423
"12454",0.0336
"12455",-0.1619
"12457",0.3224
"12458",-0.1975
"12460",-0.1558
"12461",-0.0618333333333333
"12462",0.14815
"12464",-0.0149666666666667
"12465",0.0215
"12466",0.00345
"12467",-0.0447
"12468",0.0459
"12469",0.0293
"12475",1.6134
"12476",0.499775
"12477",0.3108
"12478",-0.1718
"12479",0.9584
