"","GSE91074_VEEV_vs_Control"
"11536",2.5889
"11537",-0.253
"11539",-4.32125
"11540",-2.46935
"11541",-5.9756
"11544",0.2997
"11545",-3.77425
"11546",-0.9203
"11548",-1.0519
"115485607",-0.3538
"115486481",-3.1803
"115486898",-1.39
"11549",-1.7671
"11551",-3.6596
"11552",-2.3152
"11553",-5.6613
"11554",-4.5512
"11555",-5.121
"11556",-2.3553
"11564",2.1181
"11565",-0.5317
"11566",-4.0166
"11567",-0.4697
"11568",-0.1778
"11569",0.17535
"11571",-1.7215
"11572",0.1423
"11576",0.28105
"11595",-0.944
"11596",-0.5191
"11600",5.5466
"11601",7.528
"11602",-1.7262
"11603",2.7083
"11604",1.0361
"11605",8.6123
"11606",-3.7802
"11609",-0.4297
"11610",2.43595
"11611",-1.5387
"11614",-0.3754
"11622",-1.5528
"11624",-2.8712
"11625",-0.1244
"11628",-1.2469
"11629",16.35
"11630",15.4739
"11632",-1.8487
"11634",-3.4827
"11636",-4.9383
"11637",6.3457
"11639",-2.3463
"11640",-7.2491
"11642",-1.2017
"11643",-0.7502
"11647",-5.2739
"11648",-0.5693
"11650",-2.23485
"11651",-4.2845
"11652",0.64085
"11655",0.0105
"11656",-3.7441
"11657",-3.282
"11658",-1.02095
"11666",3.9908
"11668",-0.3014
"11669",-8.4344
"11670",-1.9146
"116701",8.8056
"11671",-0.4639
"116732",-0.0383
"116733",-5.1967
"11674",-0.5892
"116746",-1.4149
"116748",0.8651
"11676",-4.01325
"116810",-3.3864
"116811",-1.1322
"11682",1.5421
"116838",-7.1304
"11684",-1.7573
"116847",-6.8235
"116848",0.224466666666667
"11685",-2.318
"116852",1.3129
"11686",-4.118
"11687",-1.687
"116870",-4.2821
"116871",0.4072
"116872",-0.3208
"11688",-3.9046
"116891",2.1052
"11690",22.6719
"116903",2.3639
"116904",-2.9387
"116913",-0.6242
"116914",-3.1921
"11692",0.9286
"116939",-8.3802
"11694",-3.1175
"116940",6.9549
"11695",-3.0843
"11698",0.3201
"11699",-1.7783
"117004",-1.3245
"117005",-1.833
"11704",-0.9658
"11705",-2.2251
"117066",-1.3385
"117109",-9.9996
"117146",-5.2427
"117147",-0.2177
"117148",-2.5615
"117149",6.12095
"117150",-3.6422
"117158",-2.9164
"117160",-3.2998
"117167",4.4396
"11717",12.0316
"117171",10.814
"117172",0.2747
"117197",-3.975
"117198",-8.13036666666667
"11720",-2.0681
"11722",-2.2759
"11727",-0.1039
"11731",-0.084
"11732",-7.6744
"11733",-2.22086666666667
"11735",-7.37783333333333
"11736",24.2703
"11737",-1.09756666666667
"11739",-5.08593333333333
"11740",-3.45748333333333
"11744",-0.5952
"11745",10.7645
"11746",12.1324
"11747",5.5991
"11749",5.49605
"11750",8.33405
"11752",-1.07445
"11754",-3.4161
"11757",-2.2632
"11758",3.9385
"117589",-1.5073
"117590",-2.5004
"117591",2.4201
"117592",-3.0137
"117599",0.973666666666667
"117600",0.9767
"117606",-1.6018
"11761",1.6206
"11764",-3.0548
"11765",0.78625
"11766",1.0581
"11767",-1.3335
"11768",-1.0517
"11769",-1.1137
"11770",-0.0018999999999999
"11771",-4.0735
"11772",-2.59233333333333
"11773",-0.9121
"11774",1.0833
"11775",-3.7956
"11776",-1.8286
"11777",-3.0565
"11778",-0.25755
"11781",-2.392
"11782",-5.546
"11783",5.8493
"11784",-5.3145
"11785",-4.8143
"11787",-2.70453333333333
"11789",-4.2116
"11790",-5.5833
"11792",0.0252333333333333
"11793",-0.8402
"11796",23.021
"11797",9.5012
"11798",0.92952
"11799",6.6301
"11800",-0.9733
"11801",0.4958
"11803",-5.29445
"11804",-3.81476
"11806",-1.9328
"11807",-1.4493
"11808",-3.06775
"11810",32.867
"11811",-1.2134
"11812",-2.0439
"11814",6.043
"11815",21.85
"11816",-5.7864
"11818",-4.0026
"11819",-0.813033333333333
"11820",-2.46885
"11821",2.4391
"11826",0.2464
"11827",-2.0863
"11828",-1.7159
"11829",11.38295
"11830",-2.4972
"11832",0.60115
"11833",-0.4583
"11834",-0.459675
"11835",1.0846
"11836",2.9536
"11838",-4.2
"11839",0.3974
"11840",-0.1402
"11841",-0.399075
"11842",-2.70013333333333
"11843",18.9211
"11844",-3.4583
"118445",-6.8456
"118446",-2.5264
"118449",-2.4395
"11845",7.61215
"118451",-2.7648
"118452",-2.27115
"118454",-3.59
"11846",4.4202
"11847",-1.3737
"11848",5.3916
"11852",-0.8592
"11853",26.2535
"11854",3.8641
"11855",-2.7445
"11856",-0.8272
"11857",9.9439
"11858",-3.4064
"11859",2.225
"11861",2.96075
"11863",-2.75775
"11864",-3.1426
"11865",-3.9952
"11867",17.4329
"11870",-0.2261
"11871",0.5326
"11872",2.586
"11875",-2.6373
"11876",-0.5372
"11877",-4.07443333333333
"11878",-3.1892
"11883",-5.5605
"11886",1.2952
"11889",-0.8711
"11890",-1.188
"11891",-1.70715
"11899",-6.7013
"11905",0.5401
"11906",-0.438266666666667
"11907",-2.8482
"11908",4.7547
"11909",-5.2701
"11910",23.5962
"11911",9.0653
"11920",13.1687
"11921",-2.3598
"11922",-3.3541
"11923",-0.6156
"11924",-2.3232
"11925",-2.44045
"11927",-0.52895
"11928",-2.75995
"11931",-3.610825
"11932",2.44085
"11933",10.7304
"11936",-2.3578
"11937",-2.9413
"11938",-2.80676666666667
"11941",-5.27883333333333
"11944",-2.2049
"11945",-3.0106
"11946",-4.16565
"11947",-3.8268
"11949",-4.0857
"11950",-2.69545
"11951",-7.2627
"11957",-4.0393
"11958",-3.8956
"11964",-3.10275
"11966",2.4187
"11972",-5.0479
"11973",-2.9239
"11974",7.3155
"11975",-2.15963333333333
"11977",4.85885
"11979",-4.2887
"11980",3.0555
"11981",-1.81415
"11982",3.775
"11983",-4.1963
"11987",-0.2904
"11988",0.592233333333333
"11989",1.9969
"11990",-3.9122
"11991",5.096
"11992",-4.4367
"11993",4.5415
"11994",0.9697
"11997",-1.9309
"11998",0.017
"12000",-2.1808
"12005",-1.06625
"12006",-2.4343
"12007",-5.6823
"12009",-8.6413
"12010",39.55545
"12012",-1.58855
"12013",8.6673
"12014",-2.7837
"12015",-3.29585
"12017",4.4491
"12018",5.15575
"12020",-2.9368
"12021",2.1812
"12022",-1.3052
"12023",0.873
"12028",1.8034
"12029",1.3084
"12032",-7.1217
"12033",-3.77
"12034",-1.3598
"12035",-0.13815
"12036",-1.3318
"12038",-0.30805
"12039",-7.7045
"12040",-0.5374
"12041",-5.6715
"12042",3.27693333333333
"12043",-1.9767
"12048",-0.837925
"12049",-2.5117
"12050",-4.225
"12051",18.0834
"12053",2.82055
"12054",-0.5992
"12055",2.3196
"12057",-0.6352
"12061",-2.3521
"12062",-0.9342
"12064",-0.94245
"12068",-0.28295
"12069",-3.041
"12070",-2.3013
"12075",-1.4927
"12091",-3.7839
"121021",-2.49385
"121022",9.0684
"12111",10.59655
"12116",-2.9233
"12121",-4.90695
"12122",14.29905
"12123",-2.4754
"12124",-0.689733333333334
"12125",4.8461
"12140",1.7142
"12142",5.2278
"12143",-3.6832
"12144",-1.5733
"12145",2.6417
"12151",-4.7823
"12153",-2.6929
"12154",-0.5583
"12155",1.0004
"12156",2.4514
"12159",-4.4485
"12160",0.73505
"12161",-4.7231
"12162",-0.417566666666667
"12163",-2.4214
"12164",-0.2281
"12165",-2.6118
"12166",-1.625
"12167",0.0417
"12168",0.8674
"12169",-3.8704
"12173",0.4494
"12175",6.935425
"12176",-3.7587
"12177",-9.79073333333333
"12180",-3.2824
"12181",-1.9419
"12182",8.02445
"12183",-3.07493333333333
"12189",0.2726
"12190",-3.147
"12192",4.59285
"12193",5.37985
"12209",-3.1499
"12211",2.94063333333333
"12212",8.0784
"12215",-7.6187
"12217",-3.8151
"12223",4.75625
"12224",-0.0024
"12226",2.9217
"12227",-0.7115
"12229",6.3583
"12231",4.2633
"12234",-3.835
"12235",1.9466
"12236",-3.7224
"12237",1.1662
"12257",35.7403666666667
"12258",33.1328
"12259",12.7331
"12260",15.03225
"12261",-3.18895
"12262",14.099
"12263",15.2872
"12265",7.431
"12266",31.4232
"12267",12.0859
"12269",-1.4389
"12270",-2.2859
"12273",5.0537
"12274",-0.1073
"12279",-2.2752
"12282",0.393066666666667
"12283",-3.16185
"12286",-2.9656
"12287",-5.5283
"12288",-6.4337
"12289",-3.8504
"12290",-3.2319
"12291",-2.8554
"12292",4.1113
"12293",-3.4888
"12294",-5.04
"12295",-5.9811
"12296",-1.5129
"12297",-5.914
"12298",-3.5156
"12299",0.2323
"12300",-4.7168
"12301",4.2834
"12304",1.04335
"12305",1.32118
"12306",16.9538
"12307",-1.6169
"12308",-0.3811
"12309",-1.8602
"12310",2.73185
"12311",0.8385
"12313",-1.719975
"12314",-5.76675
"12315",-5.90645
"12316",1.37565
"12317",5.70346666666667
"12319",-1.46395
"12321",3.7902
"12322",-6.1496
"12323",-5.9091
"12325",-9.0926
"12326",-2.5676
"12328",6.7486
"12330",-0.924033333333333
"12331",1.88735
"12332",20.6028
"12333",1.48305
"12334",1.9609
"12335",1.3434
"12336",4.7861
"12337",2.11265
"12338",-0.7786
"12339",-4.59503333333333
"12340",4.7241
"12343",4.42725
"12344",-2.4545
"12345",-0.36455
"12346",-1.4907
"12348",-6.8354
"12349",-5.073
"12350",-1.0096
"12351",-2.8272
"12352",-2.446
"12353",-1.1827
"12354",-3.4909
"12355",1.2637
"12359",-7.2362
"12361",1.8364
"12362",21.3925
"12363",39.1498
"12364",15.01565
"12365",-1.6551
"12366",6.7841
"12367",4.64665
"12368",-0.9998
"12369",14.367
"12370",18.6344
"12371",-3.3168
"12372",-4.4595
"12373",-1.4786
"12374",-1.50805
"12380",5.2854
"12385",5.02625
"12386",-5.1531
"12387",2.78893333333333
"12388",-0.6004
"12389",-3.4804
"12390",-2.2468
"12391",-0.8945
"12393",0.888433333333333
"12394",2.588075
"12395",-7.09455
"12396",-6.6717
"12398",-2.863125
"12399",-0.9878
"12400",4.2226
"12401",-0.3983
"12402",-1.49715
"12404",-0.9595
"12406",7.52615
"12408",-7.4685
"12409",-4.8727
"12411",-4.65455
"12412",-2.48354
"12416",-5.3711
"12417",-4.8806
"12418",6.0299
"12419",-1.299575
"12421",-4.86325
"12424",-1.8987
"12425",-0.9536
"12426",-2.4364
"12427",0.623
"12428",1.18445
"12442",2.9801
"12443",11.3898666666667
"12444",2.1572
"12445",9.1673
"12447",-4.6936
"12448",-0.1346
"12449",0.8966
"12450",2.59983333333333
"12452",-4.1071
"12453",-3.29535
"12454",0.8783
"12455",-2.5549
"12457",3.4304
"12458",-2.8158
"12460",-3.5539
"12461",-1.24496666666667
"12462",2.87035
"12464",-0.1528
"12465",0.5123
"12466",0.2121
"12467",-0.8159
"12468",1.1198
"12469",0.44565
"12475",14.606
"12476",6.650325
"12477",3.0569
"12478",-3.7322
"12479",6.8784
"12480",-0.212
"12481",6.2257
