"","GSE51365_MVH68_WT_vs_Control","GSE51365_MVH68_M_vs_Control"
"100169878",0.13991280221958,0.140055425282456
"100174921",0.217549829849295,0.217459080280592
"100177",0.115467959962852,0.115702479338843
"100182",0.201664722904916,0.201689967620525
"100198",0.0982254436390902,0.0982395131493154
"100201",0.0943949425318679,0.094447411703785
"100206",0.102560414269275,0.102474381404649
"100210",0.122302158273381,0.122351160443996
"100213",0.100258068240446,0.100294249241041
"100216343",0.111470693994966,0.111432706222865
"100217446",0.126956947162427,0.126964126890009
"100226",0.0463821892393321,0.0459418070444104
"100270744",0.121435594886922,0.121517189523372
"100273",0.10169261026133,0.101580854729082
"100302594",0.325082508250825,0.325049796073224
"100302648",0.140458015267176,0.140549611915251
"100302688",0.150983945050777,0.150963829326402
"100303741",0.154919475777531,0.154868913857678
"100310872",0.137451065680731,0.137556221889056
"100316689",0.158384626932893,0.158361018826135
"100316700",0.164267961389515,0.164254298280688
"100317",0.109474588516353,0.109662725334367
"100328574",0.158218729535036,0.158208672599886
"100329140",0.12401768172888,0.123942840478274
"100336",0.0963996621573006,0.0964290422951165
"100340",0.124741081703107,0.124841088227816
"100342",0.119814138732161,0.119902986205851
"100379143",0.146788990825688,0.146586977036804
"100379606",0.0498611942735834,0.0498976182778317
"100379608",0.106003544528135,0.105890031000163
"100379609",0.153990610328639,0.153862847222222
"100379610",0.154225786551511,0.153923109904245
"100379665",0.116691623196391,0.116928336571514
"100380944",0.184649189271102,0.184680252986648
"100381257",0.113020955968919,0.112974868497954
"100382",0.11086934335681,0.110784780054243
"100383",0.0750445916544432,0.0750505171129104
"100415785",0.0272301425661914,0.0272607633013724
"100415901",0.0970437017994859,0.0971698113207547
"100416145",0.132571824160609,0.132435953104646
"100416706",0.0796407129304489,0.0795445552893128
"100416830",0.164003424168926,0.163949962092494
"100417514",0.196338383838384,0.196564885496183
"100417675",0.0690630720585788,0.0689862027594481
"100434",0.142200076657723,0.14208318769661
"100463519",0.136096779932396,0.136120401337793
"100465",0.135696792271135,0.13571512672235
"100470",0.103864734299517,0.104103802051901
"100473",0.0501745903840988,0.0501694504962479
"100494",0.114152783086733,0.114195188884296
"100502590",0.129198080877313,0.129202556265629
"100502602",0.119091093528099,0.11968085106383
"100502619",0.142813487910477,0.14277355287854
"100502624",0.177125506072874,0.176229508196721
"100502679",0.0875221762270846,0.0876378409750435
"100502694",0.0623037913547452,0.0622929092113983
"100502695",0.0889842770328928,0.0890189434775912
"100502698",0.0518173625713428,0.0518195736662348
"100502700",0.106617647058824,0.107781664576596
"100502723",0.0953427065026362,0.0952886999645767
"100502736",0.206477732793522,0.204827915869981
"100502739",0.109449501517122,0.109392825453163
"100502742",0.101851851851852,0.101683348498635
"100502745",0.123121606263417,0.123164132955424
"100502820",0.121834360027379,0.121956168831169
"100502829",0.066846013128161,0.0667666916729182
"100502834",0.241222070223438,0.241320432555492
"100502841",0.0771467514766015,0.0771170006464124
"100502861",0.16016713091922,0.160374149659864
"100502888",0.131331241595697,0.131443298969072
"100502917",0.104424122590213,0.104398633006284
"100502923",0.0927029039463887,0.0926925845932325
"100502931",0.108194214349433,0.108191426893717
"100502933",0.131940799832056,0.132029688838139
