"","GSE51365_MVH68_WT_vs_Control","GSE51365_MVH68_M_vs_Control"
"102060",-0.02095,0.0188
"102075",-0.0238,0.0953
"102093",0.0311,0.0485
"102098",-0.0613666666666667,-0.0377333333333333
"102103",-0.0345,0.0539333333333333
"102115",-0.0571,-0.0208
"102122",-0.0217,0.0354
"102124",0.0826,0.068
"102132",0.0484,-0.0553
"102141",-0.0691,0.001
"102162",0.0095,0.0441
"102182",0.0181,-0.0150333333333333
"102193",0.0293,-0.0702
"102209",0.00985,-0.04555
"102216272",-0.0222,0.0392
"102247",-0.07085,-0.06815
"102278",-0.0612,-0.0474
"102294",0.0061,-0.10645
"102323",-0.0517,-0.0622
"102334",-0.0529333333333333,-0.0191333333333333
"102339",-0.10355,-0.0957
"102371",-0.0173,-0.171
"102402",0.06215,0.0699
"102414",-0.1035,-0.0626
"102423",0.2033,0.089
"102436",-0.0275,-0.0968
"102442",0.0191,0.0698
"102443350",0.0107,-0.0061
"102448",-0.0582,0.1244
"102466237",0.2028,0.1308
"102466256",0.0655,0.0667
"102502",-0.083,-0.0077
"102545",0.0946,0.0921
"102566",0.0612,0.0894
"102570",-0.1339,0.0276
"102580",0.0172,-0.0315
"102595",-0.2429,-0.3133
"102607",-0.0317666666666667,-0.0378666666666667
"102614",-0.192,0.0128
"102626",-0.0353,-0.0636
"102631612",0.0755,0.2265
"102631730",-0.0784,0.0163
"102631739",0.1067,0.0402
"102631912",-0.0179,-0.027
"102631981",-0.1073,-0.0906
"102632",-0.18,-0.15135
"102632008",0.0022,-0.0838
"102632031",0.0173,0.0405
"102632302",-0.1301,0.0659
"102632394",0.0569,0.0802
"102632463",0.0899,0.0399
"102632493",0.0813,0.0084
"102632708",0.0364,-0.2127
"102632821",-0.037,0.0414
"102632893",-0.1697,-0.1648
"102632897",-0.0716,0.043
"102632922",-0.1175,-0.1808
"102633000",-0.0377,0.1015
"102633199",-0.0156,0.0536
"102633266",-0.0222,0.0102
"102633312",-0.0427,0.0493
"102633321",0.0137,-0.0376
"102633540",0.0862,0.1632
"102633575",0.1325,0.0157
"102633576",-0.1301,-0.0786
"102633666",0.1981,0.2299
"102633677",-0.0632,0.0369
"102633805",0.0837,0.0855
"102633824",-0.0504,-0.013
"102634000",-0.1411,-0.1506
"102634034",-0.0719,-0.1736
"102634076",-0.025,-0.0863
"102634096",-0.1063,-0.1059
"102634243",-0.0341,-0.0827
"102634251",0.3167,0.2894
"102634284",0.0725,-0.0387
"102634333",-0.0415,-0.1067
"102634389",0.0362,0.1729
"102634450",0.0718,0.0138
"102634580",0.0671,-0.0917
"102634683",-0.0194,0.1652
"102634753",-0.0366,0.0221
"102634887",0.0661,0.1598
"102634933",0.1652,0.1056
"102634995",-0.1193,0.0482
"102635020",0.0871,-0.0165
"102635192",-0.0249,-0.06415
"102635226",-0.1879,-0.1222
"102635243",-0.183,-0.0061
"102635290",0.2181,0.2485
"102635316",0.0494,-0.0947
"102635502",-0.1387,-0.0348
"102635561",-0.0374,-0.0014
"102635569",0.2193,0.0824
"102635639",0.1933,0.0078
"102635685",0.3149,0.3715
"102635783",-0.0152,-0.0683
"102635948",-0.0121,0.0055
"102635958",0.0649,-0.0516
"102635985",0.1389,0.1349
"102636142",0.0428,-0.063
"102636151",0.2722,0.1677
"102636203",-0.0468,-0.103
"102636313",-0.1531,-0.0569
"102636582",0.1684,0.0626
"102636681",-0.0411,-0.1416
"102636700",0.0321,-0.3915
"102636737",-0.107,-0.1596
"102636803",0.0921,0.2028
"102636808",0.0842,0.0575
"102636980",0.0838,0.0284
"102637001",-0.0773,0.0423
"102637100",-0.0892,0.0111
"102637176",0.2162,0.0142
"102637283",-0.1392,-0.0554
"102637354",0.1724,-0.0397
"102637419",-0.1011,-0.1025
"102637492",0.088,0.0901
"102637542",-0.0752,0.0434
"102637873",0.0078,0.0282
"102637966",0.0709,-0.0055
"102638038",0.0678,0.0564
"102638039",-0.0289,-0.0672
"102638080",-0.0826,-0.0447
"102638259",-0.0152,-0.1765
"102638292",-0.0412,-0.0992
"102638354",-0.0274,0.0034
"102638465",0.1786,0.1523
"102638632",-0.2067,-0.29
"102638722",-0.0467,0.0488
"102638744",0.109,0.0591
"102638854",-0.0467,-0.1823
"102638888",-0.0283,0.1078
"102638940",-0.1716,-0.09595
"102638947",0.0287,0.0577
"102639375",0.3465,0.2639
"102639518",0.0233,0.0248
"102639568",-0.0341,-0.1233
"102639781",-0.0925,-0.0464
"102639888",0.0192,0.1209
"102639979",-0.0194,-0.0103
"102640117",-0.0914,0.237
"102640178",-0.0389,-0.1596
"102640192",0.0585,0.0045
"102640298",0.1601,0.0842
"102640338",0.0352,-0.0285
"102640368",-0.1929,-0.2203
"102640379",-0.0574,0.083
"102640387",-0.186,-0.2774
"102640451",0.0116,-0.0301
"102640479",-0.167,-0.089
"102640589",0.0807,-0.0733
"102640749",0.1099,0.0923
"102640772",-0.2029,-0.1632
"102640779",0.179,0.1249
"102640815",-0.1258,0.1706
"102640864",-0.0226,-0.1169
"102641621",0.1072,0.0358
"102641779",-0.1199,-0.0333
"102642321",-0.107,0.1304
"102644",-0.0079,-0.1597
"102657",0.0933,0.0811
"102688",0.0357,0.1968
"102693",-0.0631,-0.14545
"102747",0.1202,-0.1919
"102774",-0.000433333333333333,0.0376
"102791",-0.00113333333333333,0.000833333333333334
"102857",0.05375,-0.06565
"102866",0.0142,0.0666
"102902673",-0.0288,-0.1423
"102920",-0.2167,-0.1108
"102941",0.0488,0.1659
"102954",0.2516,0.1193
"102991",-0.012,0.0468
"103012",-0.046,0.124966666666667
"103080",-0.03502304,-0.09735
"103098",0.0305,0.1452
"103135",0.1075,0.0065
"103136",0.0842,0.1214
"103140",-0.0013,-0.0926
"103142",0.2172,0.1286
"103149",-0.0227,-0.1124
"103161",-0.1018,-0.0408
"103164605",-0.1026,0.0325
"103172",-0.0982,-0.0654
"103175",-0.14405,-0.04435
"103199",-0.0536,-0.0807
"103213",-0.1386,-0.1406
"103220",0.0244,0.1082
"103236",-0.0378,-0.044
"103266",-0.05735,0.07605
"103268",-0.03795,0.01405
"103284",-0.0845,-0.109
"103406",0.0057,-0.0917
"103425",-0.0304,-0.0551
"103466",0.0784,0.1009
"103468",0.0028,-0.0081
"103511",0.1298,0.0244
"103517",0.2504,-0.012
"103534",-0.054,-0.1123
"103537",0.04,-0.0486
"103551",0.3632,0.1329
"103554",0.000825000000000006,0.012775
"103573",-0.06665,0.0623
"103583",0.0130333333333333,-0.0246333333333333
"103655",-0.1908,-0.252
"103677",0.1418,0.1119
"103694",-0.0422,-0.0349
"103710",-0.0813666666666667,-0.137933333333333
"103711",0.0569,-0.0461
"103712",0.0431,-0.0594
"103724",-0.0785,-0.0913
"103733",-0.2229,-0.1089
"103737",-0.017,-0.0869
"103742",-0.0583,-0.0569
"103743",-0.007,-0.0433
"103765",0.06175,0.04125
"103768",0.0057,-0.0388
"103775",-0.0543,0.0049
"103784",0.0207666666666667,-0.0206333333333333
"103806",-0.0863,-0.1815
"103836",-0.2087,-0.0977
"103841",0.1099,-0.03835
"103844",0.1966,-0.0154
"103850",-0.0845,-0.0714
"103889",0.0547,-0.2029
"103963",-0.02042,0.0246
"103967",0.14628,0.06838
"103978",0.0177,0.1304
"103988",-0.0751,0.0221
"104001",0.007,-0.0663
"104002",-0.1845,-0.0948
"104009",-0.0145,-0.03515
"104010",0.1436,0.1373
"104015",-0.0411333333333333,-0.0608
"104027",-0.03515,-0.1643
"104069",-0.0544,-0.1147
"104079",-0.3285,-0.0675
"104080",-0.0212,-0.0999
"104082",-0.0248,-0.0666
"104086",-0.14535,-0.16525
"104099",-0.00703333333333333,-0.0718666666666667
"104103",-0.00806666666666667,-0.0472666666666667
"104110",-0.0317,0.1367
"104111",-0.078525,-0.09335
"104112",-0.0431,-0.045975
"104130",-0.0657333333333333,-0.0436666666666667
"104156",-0.0670333333333333,-0.1047
"104158",0.0483333333333333,-0.0879666666666667
"104174",0.0538,-0.1268
"104175",-0.12265,-0.22255
"104183",-0.0412,0.0464
"104184",0.0318,0.0034
"104215",-0.0729,0.0028
"104248",0.0345666666666667,0.0225666666666667
"104252",-0.1097,-0.001
"104263",0.0216,0.0677
"104271",-0.1635,-0.1616
"104318",-0.04178,-0.04518
"104346",0.0367,0.0353
"104348",0.000399999999999998,-0.02945
"104349",0.0365,-0.0307
"104360",-0.0162,0.0213
"104362",0.4176,0.2036
"104382",-0.0484,-0.008
"104383",-0.0043,0.015
"104384",-0.0377,0.0274
"104394",-0.1851,-0.1661
"104401",-0.1012,-0.1734
"104416",-0.03265,-0.05705
"104418",-0.01605,-0.1515
"104443",-0.0226,0.0496
"104444",0.0295,0.0853
"104445",0.0363,0.096
"104457",-0.01015,-0.0542
"104458",-0.0554,-0.0776
"104479",-0.18955,-0.1879
"104522",-0.2142,-0.0762
"104570",0.034675,0.0552
"104582",-0.165,-0.1249
"104601",0.064,0.0368
"104625",-0.090475,-0.0191
"104662",0.04225,0.0776
"104681",9e-04,0.0598
"104692",0.1117,-0.088
"104709",0.0242,-0.1132
"104718",0.07335,0.04885
