"","GSE51365_MVH68_WT_vs_Control","GSE51365_MVH68_M_vs_Control"
"102774",-0.0823333333333333,0.589566666666667
"102791",0.1289,0.104233333333333
"102857",0.707,-0.73505
"102866",0.1544,0.7225
"102902673",-0.1786,-0.8823
"102920",-1.3107,-0.6704
"102941",0.3082,1.0477
"102954",1.7709,0.8399
"102991",-0.0737,0.2874
"103012",-0.192633333333333,0.5632
"103080",-0.23535,-0.9335
"103098",0.2425,1.1542
"103135",1.3388,0.0807
"103136",1.05105,1.2875
"103140",-0.0046,-0.3307
"103142",0.8532,0.5052
"103149",-0.2228,-1.1014
"103161",-0.7371,-0.2957
"103164605",-2.2304,0.7053
"103172",-1.12255,-0.75985
"103175",-2.40635,0.10915
"103199",-0.7504,-1.1296
"103213",-1.3672,-1.387
"103220",0.2949,1.305
"103236",-0.4052,-0.4713
"103266",-0.53995,0.63465
"103268",-0.6824,-0.31695
"103284",-1.0457,-1.3483
"103406",0.036,-0.5822
"103425",-0.468,-0.8482
"103466",0.75325,1.08745
"103468",0.0433,-0.1257
"103511",1.8466,0.3475
"103517",1.0822,-0.0518
"103534",-0.3648,-0.759
"103537",0.38335,-0.56265
"103551",2.3136,0.8463
"103554",0.00977499999999998,0.119725
"103573",-0.67925,0.58905
"103583",-0.895433333333333,-0.912833333333333
"103655",-0.9891,-1.3067
"103677",1.11935,1.2096
"103694",-0.778,-0.6432
"103710",-0.5058,-0.875333333333333
"103711",0.4931,-0.3996
"103712",0.3685,-0.5076
"103724",-1.7885,-2.0819
"103733",-2.8422,-1.3879
"103737",-0.2198,-1.122
"103742",-0.8438,-0.8241
"103743",-0.0914,-0.5695
"103765",0.4589,0.40755
"103768",0.0531,-0.3629
"103775",-0.3177,0.0286
"103784",0.0814333333333334,-0.0891666666666667
"103806",-1.00705,-2.1061
"103836",-1.8733,-0.877
"103841",-0.1993,-0.889
"103844",1.7175,-0.1344
"103850",-0.8441,-0.713
"103889",0.5337,-1.9787
"103963",-0.21856,0.3574
"103967",0.73492,0.39302
"103978",0.1653,1.2173
"103988",-0.5727,0.0746
"104001",0.1661,-1.5721
"104002",-1.6393,-0.8421
"104009",-0.1056,-0.3241
"104010",1.0458,0.9997
"104015",-1.06403333333333,-1.57193333333333
"104027",0.12895,-1.0116
"104069",-0.5599,-1.18
"104079",-1.6,-0.3289
"104080",-0.2759,-1.3
"104082",-0.2777,-0.7468
"104086",-1.31075,-1.57265
"104099",0.0113333333333333,-0.427566666666667
"104103",0.0509666666666666,-0.5801
"104110",-0.1359,0.586
"104111",-0.577075,-0.934075
"104112",-0.383525,-0.63685
"104130",-1.14863333333333,-0.7502
"104156",-0.626466666666667,-0.954833333333333
"104158",0.4599,-0.9136
"104174",0.7376,-1.7366
"104175",-1.5572,-2.8171
"104183",-0.288,0.3247
"104184",0.40085,0.02715
"104215",-1.0643,0.0413
"104248",0.0246,-0.2498
"104252",-2.9812,-0.0271
"104263",0.2201,0.6899
"104271",-0.8324,-0.8229
"104318",-0.3771,-0.2176
"104346",0.2972,0.286
"104348",-0.1737,-0.4977
"104349",0.4415,-0.3713
"104360",-0.2252,0.2965
"104362",1.9202,0.9363
"104382",-0.4376,-0.0726
"104383",-0.0297,0.1042
"104384",-0.1823,0.1325
"104394",-1.5677,-1.407
"104401",-1.0429,-1.7868
"104416",-0.44375,-0.8762
"104418",-0.01505,-2.0792
"104443",-0.2182,0.4801
"104444",0.573,1.6601
"104445",0.3252,0.8611
"104457",-0.0101,-0.5377
"104458",-0.5491,-0.7697
"104479",-2.0391,-2.03105
"104522",-1.7871,-0.6355
"104570",0.09975,0.08075
"104582",-1.3799,-1.044
"104601",0.4962,0.285
"104625",-1.273375,-0.5807
"104662",0.5794,0.7643
"104681",0.0084,0.592
"104692",0.9029,-0.7115
"104709",-0.00875000000000001,-0.61205
"104718",0.82225,0.5077
"104721",-1.41915,-0.8471
"104725",-0.1133,-0.207
"104732",-0.99225,-1.9031
"104759",-0.6035,-1.2812
"104771",-0.291933333333333,-0.5339
"104776",-0.5503,-0.2499
"104799",-0.49255,-0.71075
"104806",0.655433333333333,0.589466666666667
"104816",-0.0668,0.2256
"104831",-1.547,-2.0283
"104836",1.45195,0.67505
"104859",0.6008,0.4009
"104871",-1.7989,-0.8362
"104884",1.8819,1.2875
"104885",-2.8641,-1.2251
"104886",-1.8581,0.1487
"104910",-0.2819,-1.5826
"104932",-2.4682,-1.1201
"104940697",0.987,-0.2721
"104943",-0.738,0.4155
"105000",-0.6935,0.25265
"105005",0.3237,0.72
"105014",1.2167,1.374
"105083",-0.8878,-0.4916
"105148",0.55355,0.2267
"105171",-0.6557,-0.7606
"105180375",-2.6523,-2.8827
"105193",1.2309,1.4937
"105203",0.4768,-0.46825
"105239",-1.0229,-0.1841
"105242581",1.1646,0.9122
"105242657",-0.7483,0.3141
"105242750",0.2448,0.9983
"105243",-1.6604,-0.04095
"105243043",-0.0282,0.19255
"105243109",0.322,-0.5531
"105243184",-0.6176,0.7955
"105243207",-0.4732,1.8159
"105243233",0.3584,-0.2594
"105243269",-0.1437,-0.7565
"105243282",1.7366,2.2633
"105243330",0.1631,-0.1551
"105243422",-0.6847,-1.0751
"105243866",0.588,0.2591
"105243925",-2.0194,-0.1035
"105244117",0.0121,-1.3935
"105244158",0.0952,-0.7206
"105244227",0.1843,0.7424
"105244487",-0.2189,-0.2753
"105244649",-0.0588,-0.0782
"105244659",-0.1397,-1.2414
"105244708",-0.5316,0.1525
"105244739",-0.109,-0.4464
"105244793",0.1163,0.3521
"105244916",-0.7719,-0.0395
"105244993",-0.2011,-0.3546
"105245",-0.2628,-0.27235
"105245027",1.6786,1.1581
"105245193",-4.355,0.1022
"105245474",-0.0158,-0.1192
"105245696",0.5967,-0.0427
"105245705",1.8702,0.6698
"105245780",-1.4544,-1.7094
"105245784",0.2643,1.0483
"105245924",-0.8444,-2.5552
"105246",-1.3103,-0.7875
"105246056",0.6757,1.0543
"105246059",-0.7853,-1.1974
"105246071",0.0556,-0.3372
"105246086",0.2476,-0.5203
"105246151",-1.0584,0.3663
"105246278",-0.02025,-0.6231
"105246409",-0.7502,-0.8407
"105246434",0.4114,-0.2126
"105246501",-1.6636,-0.8597
"105246959",-1.178,-0.1158
"105247153",-0.7834,-0.03
"105247240",0.3725,0.6902
"105278",-0.9522,-1.184
"105298",-0.572166666666667,0.1683
"105348",0.6826,-0.9719
"105349",-1.2521,-1.0391
"105351",0.2521,-0.4233
"105352",0.4953,-0.8205
"105355",-0.1179,1.244
"105364",0.2722,-0.849
"105372",-0.4287,-0.52815
"105377",0.5246,1.1229
"105387",1.4811,1.8888
"105418",1.2807,0.4099
"105428",0.0749,-0.3306
"105439",-1.73356666666667,-0.1245
"105440",-0.5755,0.7228
"105445",1.0627,0.164366666666667
"105446",-1.1057,0.2444
"105450",0.0591,-0.359175
"105501",-0.9001,-0.71335
"105504",-0.1431,-0.4673
"105511",0.457,1.6245
"105513",-2.0141,-2.7837
"105518",-0.9205,-0.3813
"105522",-0.53,-0.2068
"105559",1.27223333333333,0.4156
"105590",-1.1408,-0.8196
"105594",-0.2189,0.0680666666666667
"105638",-0.0303666666666667,-0.330566666666667
"105651",-0.3651,-0.0501
"105653",0.2338,-0.5336
"105663",0.08075,-0.23555
