"","GSE30577_Rabies_vs_Control"
"104884",-1.6334
"104885",-3.0768
"104943",-0.47545
"105000",0.0149
"105083",-0.3078
"105148",-1.7987
"105171",0.767
"105180375",-0.396
"105203",1.71216666666667
"105239",-1.9057
"105242657",-0.6571
"105243",0.79925
"105243059",1.3811
"105243233",-2.29535
"105243269",-2.8432
"105243282",-0.2335
"105243866",2.2471
"105244012",-0.0179
"105244144",-0.3625
"105244158",0.2843
"105244449",1.8964
"105244649",0.1407
"105244739",-0.4168
"105244793",2.6047
"105245",0.8023
"105245359",0.02645
"105245369",0.4896
"105245555",-0.5856
"105245841",-0.6072
"105245909",-0.114
"105246016",2.6197
"105246056",0.7298
"105246059",-1.3777
"105246434",2.1559
"105246531",1.8015
"105246587",-1.2164
"105246667",-0.1505
"105246961",-0.6663
"105247244",1.6739
"105278",0.73165
"105348",0.4276
"105349",0.5177
"105352",-1.1515
"105355",-2.92365
"105364",0.5876
"105372",2.1761
"105377",-0.3453
"105387",3.8607
"105418",-0.5566
"105428",-0.2948
"105446",0.1843
"105450",4.2573
"105501",0.0238
"105504",-0.65385
"105511",-0.3088
"105513",2.1778
"105559",-2.132
"105594",0.5242
"105638",-0.72095
"105651",-0.8104
"105653",-0.2442
"105663",-1.331
"105670",-0.8522
"105675",-1.5294
"105689",-0.532966666666667
"105722",2.19435
"105727",-4.1814
"105732",1.5686
"105734",-2.5849
"105782",0.1614
"105785",-3.3155
"105787",2.7847
"105827",0.8299
"105833",0.0513
"105837",2.9404
"105841",1.3864
"105844",-3.00415
"105847",0.6442
"105855",4.2533
"105887",0.2005
"105892",0.2366
"105988",4.2088
"106021",-1.2886
"106025",0.7026
"106039",-0.2888
"106052",3.0849
"106064",-0.6478
"106068",3.3426
"106073",0.7277
"106143",0.1598
"106200",-0.16955
"106205",3.24555
"106248",-3.5299
"106298",1.2375
"106326",-0.1572
"106338",0.1313
"106347",2.0079
"106369",1.219
"106389",2.0147
"106393",-0.5469
"106407",-0.2378
"106489",-1.2376
"106504",-1.3926
"106512",5.4578
"106557",-0.9348
"106564",0.4247
"106565",3.75
"106572",0.76655
"106582",0.9332
"106583",2.9835
"106585",0.55245
"106628",1.90905
"106633",0.3203
"106648",-0.1312
"106672",-1.835
"106722",-0.392
"106759",3.54855
"106763",-0.7853
"106766",5.409
"106795",0.0926
"106821",-0.5723
"106840",0.5242
"106869",3.0596
"106877",0.1726
"106878",4.3885
"106894",-0.4805
"106931",0.8164
"106952",2.7979
"106957",-2.9967
"107003",2.6307
"107022",2.91175
"107035",0.0749
"107045",1.39166666666667
"107065",-5.03575
"107071",-0.3787
"107094",1.7589
"107182",1.3357
"107197",-1.4208
"107221",0.2843
"107239",1.7871
"107242",1.0617
"107260",-1.16695
"107271",0.6047
"107272",-1.1931
"107305",0.61255
"107321",5.6195
"107350",4.0084
"107351",0.597533333333333
"107358",-1.0259
"107368",-1.0856
"107371",1.81935
"107372",0.5633
"107373",4.7749
"107375",1.2052
"107376",-0.81225
"107392",2.4982
"107435",1.4739
"107448",-3.1482
"107476",-1.86344
"107477",-2.2785
"107503",3.3295
"107508",0.1096
"107513",1.8469
"107515",0.59585
"107526",4.6959
"107527",0.7515
"107528",-4.0525
"107569",6.30545
"107581",0.196
"107585",1.2389
"107586",-1.64545
"107587",1.1061
"107589",0.3286
"107605",2.0555
"107607",4.7793
"107652",1.2499
"107656",-0.0744
"107684",1.01145
"107686",0.6982
"107701",-0.7569
"107702",4.6653
"107732",-0.6087
"107733",0.8659
"107734",1.4625
"107746",0.12905
"107747",4.0068
"107751",-0.0044
"107765",2.3194
"107767",0.9905
"107769",1.01085
"107770",-2.2904
"107815",0.6307
"107817",1.7621
"107823",0.72296
"107829",-6.3164
"107868",0.7163
"107869",0.7645
"107889",1.036
"107895",-0.0045
"107932",-2.0611
"107934",-2.01555
"107939",-0.1903
"107951",0.3645
"107970",0.2419
"107971",-0.2794
"107975",0.2659
"107976",0.0998
"107995",-0.2625
"107999",-0.0972
"108000",1.5722
"108011",0.81215
"108012",0.59905
"108013",-1.581
"108014",0.5935
"108015",0.6407
"108017",-2.3131
"108030",0.995566666666667
"108037",0.14355
"108043",-0.1698
"108052",0.0687000000000001
"108058",0.759975
"108062",-1.1796
"108068",-0.2431
"108071",-2.120775
"108072",0.2361
"108073",0.12985
"108077",-1.8679
"108078",3.4829
"108086",-2.5133
"108089",-0.1883
"108096",0.9704
"108097",-3.6408
"108098",-2.4793
"108100",-1.45125
"108101",5.7526
"108105",0.97645
"108112",1.91415
"108114",0.214
"108115",-3.6175
"108116",-0.401
"108121",0.28085
"108123",-0.0366
"108124",-1.32503333333333
"108138",0.3261
"108143",2.1511
"108147",-1.4536
"108148",-0.43585
"108150",-0.785
"108151",0.4969
"108153",-0.95505
"108154",2.7863
"108155",0.8046
"108159",1.2372
"108160",-0.2477
"108161",0.0692
"108167326",0.714
"108167416",1.5214
"108167440",4.9427
"108167445",-0.2602
"108167597",-0.0556
"108167901",-1.213
"108167906",-2.0109
"108168035",1.2025
"108168167",-0.3493
"108168742",-1.6016
"108168883",-0.0942
"108169023",-2.416
"108169047",-0.46285
"108169050",-0.9223
"108645",-1.0021
"108652",1.9576
"108653",-0.566
"108655",-0.56345
"108657",2.5951
"108664",0.17715
"108670",2.6486
"108672",0.41955
"108673",5.4208
"108679",-0.6837
"108686",0.141375
"108687",-0.0492
"108699",-2.4275
"108705",1.8715
"108707",1.57696666666667
"108723",3.3698
"108735",2.077
"108737",-0.1876
"108755",-0.9571
"108760",0.4448
"108767",-1.1869
"108797",-0.0078
"108800",0.76885
"108803",0.6825
"108811",3.5385
"108812",2.1268
"108829",0.7655
"108837",-0.6747
"108841",-0.3638
"108853",-0.059
"108888",0.9691
"108900",-1.9458
"108903",-1.1852
"108907",4.2714
"108909",3.8853
"108911",0.8994
"108912",2.3952
"108927",-0.3632
"108937",-0.9587
"108946",-0.16555
"108954",2.22875
"108956",2.9961
"108960",2.5266
"108961",3.9806
"108989",-1.01985
"108995",2.1141
"109006",1.7062
"109019",0.98445
"109032",6.2161
"109042",3.0573
"109050",-0.4285
"109052",-0.3605
"109054",1.9581
"109065",-1.68825
"109075",-0.0707
"109077",-0.5195
"109079",-0.100066666666667
"109082",3.9402
"109093",0.6354
"109095",0.82055
"109113",-0.8008
"109129",2.0098
"109135",1.5693
"109145",-3.6357
"109151",-0.947533333333333
"109154",0.65415
"109163",4.1006
"109168",2.07794
"109181",-0.14525
"109202",1.5966
"109212",0.2712
"109215",3.2619
"109218",-0.8853
"109222",-0.8199
"109225",5.4439
"109226",2.4692
"109229",-1.1176
"109242",0.6164
"109245",0.19765
"109246",-0.7509
"109254",-0.6389
"109263",0.291966666666667
"109264",0.5561
"109267",-0.445
"109270",1.8324
"109272",-1.5898
"109275",1.4573
"109284",0.5467
"109305",0.2538
"109314",-1.4769
"109323",1.2333
"109331",1.34315
"109332",-1.3246
"109333",1.70755
"109342",-0.5518
"109346",1.5924
"109349",-0.3023
"109359",-1.88235
"109552",1.5744
"109575",-0.2321
"109593",0.50205
"109594",1.261
"109620",0.541475
"109624",-4.221
"109637",-0.3075
"109652",-2.5818
"109658",0.3841
"109660",0.2771
"109676",-4.7681
"109685",1.6771
"109689",-1.6754
"109697",0.3665
"109700",1.92883333333333
"109711",1.4072
"109731",2.0282
"109754",-0.25465
"109778",0.5768
"109785",0.817
"109791",-0.1512
"109815",-0.2095
"109820",-3.3709
"109821",1.8928
"109857",0.8241
"109880",-0.485875
"109900",0.7968
"109901",1.559
"109910",-0.00625
"109929",-1.2527
"109934",-0.5664
"109978",0.3308
"109979",3.0802
"110006",2.11095
"110012",-2.2511
"110033",-0.2822
"110052",2.06045
"110074",-0.0611
"110075",-1.9822
"110078",-0.5509
"110082",1.2189
"110083",0.3999
"110084",1.48595
"110094",2.1623
"110095",2.5316
"110109",-1.4195
"110119",-0.9263
"110135",0.9782
"110147",-0.0022
"110157",-1.92446666666667
"110168",3.3435
"110172",3.3658
"110173",-1.6743
"110175",3.0362
"110187",-2.5588
"110196",-0.0415
"110208",2.02865
"110213",2.12415
"110253",3.442
"110265",-5.7688
"110279",-0.038825
"110304",1.0135
"110308",4.6452
"110310",-1.2108
"110312",1.2042
"110326",0.9874
"110332",-1.9171
"110350",-0.4694
"110355",2.60815
"110382",-2.834
"110385",-0.0881
"110417",-0.7383
"110446",0.8211
"110454",6.2237
"110521",1.7208
"110532",2.0523
"110593",0.682333333333333
"110595",-3.3292
"110599566",3.5451
"110606",1.4526
"110611",1.2267
"110616",0.89345
"110639",0.775
"110648",-0.4062
"110651",3.1327
"110696",-1.4453
"110749",2.3223
"110750",0.91045
"110751",0.42905
"110784",-0.155633333333333
"110789",0.71585
"110796",-2.54275
"110805",2.0597
"110809",1.053
"110816",0.26865
"110826",-4.3737
"110829",1.94515
"110834",-0.885
"110835",0.56
"110855",0.2089
"110862",2.1624
"110876",-1.2427
"110877",3.4818
"110880",-0.2776
"110886",-1.9641
"110891",-0.3804
"110893",-0.2749
"110895",1.252
"110902",-0.1416
"110911",0.641833333333333
"110920",1.4718
"110935",0.1016
"110954",0.8576
"110956",5.8534
"110957",0.8721
"110958",3.455
"110959",-0.398
"110960",2.0615
"110962",0.21085
"111173",-0.3685
"111174",-1.2993
"111175",0.6317
"112403",0.5103
"112406",0.1818
"112407",1.0038
"112408",1.6025
"112414",-0.2688
"112419",1.1017
"112694759",0.8759
"11287",0.9297
"11298",-0.64085
"113002583",0.0189
"11303",2.8347
"11304",-1.3236
"11306",-0.0271
"11307",-1.3877
"11308",0.78075
"11350",-1.05235
"11352",1.989375
"113523645",0.5962
"11354",-0.1156
"11363",-1.224
"11364",2.6086
"11370",2.4462
"113851",-0.1261
