"","GSE30577_Rabies_vs_Control"
"105559",-1.47485
"105594",0.426
"105638",-0.53975
"105651",-0.6941
"105653",-0.1555
"105663",-0.8622
"105670",-0.794166666666667
"105675",-0.8686
"105689",-0.368566666666667
"105722",2.55425
"105727",-2.3473
"105732",1.4281
"105734",-1.6538
"105782",0.0868
"105785",-2.3146
"105787",2.8942
"105827",1.0162
"105833",0.052
"105837",3.9096
"105841",2.2073
"105844",-2.15965
"105847",0.7345
"105855",6.6766
"105887",0.153
"105892",0.186
"105988",5.253
"106021",-0.07125
"106025",0.6352
"106039",-0.3268
"106052",4.3292
"106064",-0.5321
"106068",4.1588
"106073",0.5155
"106143",0.1617
"106200",0.00845000000000001
"106205",4.23775
"106248",-1.69
"106298",1.2149
"106326",-0.1017
"106338",0.181
"106347",2.1864
"106369",0.785
"106389",2.3687
"106393",-0.3982
"106407",-0.2476
"106489",-0.9968
"106504",-0.9844
"106512",3.8345
"106557",-0.6049
"106564",0.5976
"106565",1.3149
"106572",1.1433
"106582",0.6552
"106583",1.9039
"106585",0.3254
"106628",2.2798
"106633",0.32495
"106648",-0.079
"106672",-1.4263
"106722",-0.2398
"106759",3.7962
"106763",-0.4699
"106766",2.946
"106795",0.0969
"106821",-0.3703
"106840",0.4457
"106869",5.2036
"106877",0.067
"106878",3.5543
"106894",-0.897
"106931",0.5435
"106952",3.3981
"106957",-2.1439
"107003",1.3036
"107022",3.3082
"107035",0.0502
"107045",1.82263333333333
"107065",-2.4348
"107071",-0.2985
"107094",0.6239
"107182",0.9929
"107197",-1.0737
"107221",0.3224
"107239",1.3306
"107242",1.1601
"107260",-0.6894
"107271",0.6512
"107272",-1.9401
"107305",0.23775
"107321",6.57225
"107350",4.2366
"107351",0.303666666666667
"107358",-0.7302
"107368",-1.2222
"107371",1.8304
"107372",0.3982
"107373",6.6774
"107375",1.5567
"107376",-0.48925
"107392",3.60055
"107435",1.3462
"107448",-1.636
"107476",-1.01156
"107477",-1.8078
"107503",5.9113
"107508",0.0835
"107513",1.8135
"107515",0.4949
"107526",5.2946
"107527",1.3586
"107528",-2.9266
"107569",6.58165
"107581",0.8876
"107585",0.9284
"107586",-1.24875
"107587",1.0074
"107589",0.3963
"107605",1.4933
"107607",7.8414
"107652",1.729
"107656",-0.0512
"107684",1.2165
"107686",0.8429
"107701",-0.5296
"107702",7.6887
"107732",-0.2826
"107733",0.617
"107734",1.8299
"107746",0.13805
"107747",5.2122
"107751",-0.0043
"107765",1.933
"107767",0.6308
"107769",1.351
"107770",-1.9624
"107815",0.05065
"107817",1.801
"107823",1.16978
"107829",-2.8106
"107868",0.3893
"107869",0.9341
"107889",0.6666
"107895",-0.0039
"107932",-1.5937
"107934",-1.5476
"107939",-0.1091
"107951",0.3158
"107970",0.1941
"107971",-0.2562
"107975",0.4459
"107976",0.0946
"107995",-0.1732
"107999",-0.0967
"108000",1.7516
"108011",0.525
"108012",0.66845
"108013",-0.8003
"108014",0.5109
"108015",0.3884
"108017",-1.8627
"108030",0.362766666666667
"108037",0.38425
"108043",-0.097
"108052",-0.08615
"108058",1.3049
"108062",-0.9531
"108068",-0.143
"108071",-1.629
"108072",0.1812
"108073",-0.27795
"108077",-1.6368
"108078",5.844
"108086",-1.303775
"108089",-0.28005
"108096",0.91735
"108097",-2.4781
"108098",-1.7858
"108100",-1.2842
"108101",5.4778
"108105",1.38815
"108112",2.9744
"108114",0.3201
"108115",-2.4988
"108116",-0.4317
"108121",0.33435
"108123",-0.0423
"108124",-0.789033333333333
"108138",0.161
"108143",2.22236666666667
"108147",-0.9928
"108148",-0.29265
"108150",-0.5851
"108151",0.423
"108153",-0.57555
"108154",2.9628
"108155",0.5529
"108159",2.0463
"108160",-0.2183
"108161",0.0668
"108167326",0.5679
"108167416",1.3978
"108167440",6.6835
"108167445",-0.2098
"108167597",-0.0483
"108167901",-1.1616
"108167906",-1.4454
"108168035",0.7757
"108168167",-0.178
"108168742",-1.2406
"108168883",-0.0734
"108169023",-2.381
"108169047",-0.31495
"108169050",-0.581
"108645",-0.8543
"108652",1.8466
"108653",-0.6742
"108655",-0.21175
"108657",3.9308
"108664",0.11735
"108670",3.10795
"108672",0.49275
"108673",6.5733
"108679",-0.5306
"108686",-0.127575
"108687",-0.0608
"108699",-1.8389
"108705",2.6488
"108707",1.91876666666667
"108723",4.1831
"108735",3.1626
"108737",0.235133333333333
"108755",-0.5607
"108760",0.2697
"108767",-1.0492
"108797",-0.0046
"108800",1.04795
"108803",0.4954
"108811",4.899
"108812",1.1771
"108829",0.7756
"108837",-0.45605
