"","GSE53784_WNV_vs_Control","GSE53784_JEV_vs_Control"
"100986",-4.0329,0.111
"101023",4.227,5.0174
"101055670",3.0224,-1.2638
"101055749",0.5783,-0.5053
"101055939",3.7978,1.0934
"101056014",0.4299,-1.7127
"101056032",0.7621,-1.5966
"101056229",-0.8382,-1.6284
"101095",1.5677,0.2121
"101113",-5.4371,-5.8142
"101118",7.2479,5.7596
"101122",-2.333,-1.938
"101142",5.4219,7.2307
"101148",6.295,3.9221
"101185",-19.2281,-8.9202
"101187",9.1597,12.5915
"101202",-0.5608,2.06
"101206",2.6382,2.3027
"101214",2.3594,1.93553333333333
"101240",-0.2881,-3.7331
"101314",-2.9344,-4.1954
"101320",2.1053,3.3344
"101351",-2.4813,-3.9413
"101358",-1.5614,-2.3844
"101401",9.61913333333333,12.77475
"101434",-0.3949,-2.9623
"101437",2.9483,-2.0058
"101471",3.8437,3.6741
"101476",-3.4773,-2.7452
"101488",-0.414,-4.9904
"101489",8.3511,6.9482
"101490",-5.6504,-5.6928
"101497",7.4933,4.7312
"101502",4.6109,3.0749
"101513",3.9158,1.5143
"101533",5.9944,4.0512
"101540",9.938,1.7419
"101543",4.5489,1.1349
"101544",-6.5469,2.1771
"101565",-7.1668,-8.6728
"101568",-0.5761,-1.4747
"101592",10.0205,5.0538
"101602",4.1442,3.0314
"101604",4.0542,1.0944
"101612",7.0167,5.3316
"101613",0.0729,-1.3048
"101631",1.9979,3.5011
"101685",13.1693,5.6426
"101700",-0.4196,-0.1089
"101706",1.06,-0.3685
"101739",-6.712,-3.1099
"101744",-0.8805,0.1063
"101772",0.0928,-4.0615
"101809",2.4411,-0.5478
"101831",2.8341,3.3255
"101861",-4.1493,-1.8095
"101867",10.6069,6.0547
"101869",12.8526,5.4335
"101883",-2.377,-0.5893
"101943",13.6068,10.7217
"101966",4.7218,3.774
"101985",8.2523,5.4811
"101994",2.6701,1.5667
"102022",0.5429,-1.4242
"102032",-3.5338,0.5294
"102058",-3.8791,-2.0722
"102060",3.9077,0.1782
"102075",4.0585,0.4515
"102093",-7.1647,-2.0318
"102098",0.51645,-0.0792
"102103",-0.3731,0.0616
"102122",1.5467,4.0677
"102124",-0.4553,-0.7759
"102141",-2.7983,-2.2299
"102162",4.5643,2.9059
"102182",2.1861,5.6664
"102193",3.7344,3.8646
"102209",3.8605,3.5474
"102247",-0.8157,0.6061
"102278",-1.884,-2.0515
"102323",-10.9005,-4.9235
"102334",-4.6549,0.1366
"102339",3.254,3.4625
"102371",-0.4598,0.0918
"102414",8.9109,3.973
"102423",9.0168,5.6294
"102436",-4.8259,0.1586
"102442",3.45554444444444,2.30715555555556
"102448",2.7254,0.245
"102465258",-4.7407,-5.3797
"102465895",-0.7717,-4.2779
"102466256",-0.9684,2.7602
"102502",-16.8929,-16.9183
"102545",5.7595,0.7501
"102566",3.5548,3.2457
"102570",1.2117,-1.4072
"102580",-3.6079,1.8174
"102595",13.0206,7.4123
"102607",-4.7878,0.0113
"102614",-12.6453,-5.3012
"102626",7.2032,4.8306
"102631730",-0.0679,3.1511
"102631912",-2.699,-0.3056
"102632",-4.6835,-3.7401
"102632303",0.7763,-0.7818
"102632690",0.3716,-3.8903
"102632837",-0.2908,0.61
"102633151",-7.3152,-5.7285
"102633245",0.8132,0.1818
"102633266",3.0008,-2.1391
"102633345",-0.9218,-1.1191
"102633384",1.0073,1.5713
"102633458",-0.4105,2.6359
"102633750",3.6936,3.5205
"102634296",-1.5988,0.3564
"102634333",3.3465,-3.1271
"102634490",-0.2888,0.1366
"102634678",1.0609,-1.0262
"102635190",0.7191,0.8558
"102635467",1.0776,0.7562
"102635496",0.87375,0.84265
"102635561",-4.511,-4.145
"102635943",-1.7489,-3.4149
"102636082",2.3777,0.3908
"102636313",-1.44875,-1.60095
"102636896",2.1326,-4.4301
"102636989",4.4217,0.4743
"102637189",1.1619,-0.05
"102637366",-1.6904,1.1644
"102637492",0.3064,-1.0084
"102637973",3.3718,3.2384
"102638085",2.53326666666667,0.0485
"102638268",1.0573,-0.4292
"102638454",0.0692,1.534
"102638466",-0.0797,1.0912
"102638502",2.5438,0.109
"102638670",1.3112,-2.0729
"102638797",0.228,3.5343
"102638837",0.9092,1.9766
"102638882",-3.0259,-0.6639
"102639025",1.398,1.4145
"102639117",1.7468,3.7755
"102639143",1.6262,1.227
"102639173",-0.9277,1.0365
"102639227",-0.7288,-0.8169
"102639543",7.8143,9.505
"102639645",-0.6837,-1.3008
"102639802",3.0154,0.4469
"102640526",-1.8197,-2.2357
"102640779",-12.4581,-6.7576
"102640920",2.2977,-0.2415
"102640923",-0.398,-3.0672
"102641859",1.9245,-1.157
"102644",3.0369,2.3042
"102657",2.0445,3.2644
"102680",4.6809,-1.9801
"102693",-5.2375,-7.1026
"102747",-2.2686,0.2903
"102774",0.0663,0.0442
"102791",-1.3449,-0.7049
"102857",7.295,2.13
"102866",-4.0396,-8.4448
"102871",-0.212,-0.4305
"102920",4.0264,1.0108
"102941",-1.8777,-0.947
"102954",-7.9948,-3.1543
"102991",-1.0016,-4.2343
"103012",-8.8984,-4.6238
"103080",-0.7213,-1.3632
"103098",-10.0933,-2.6228
"103135",5.5161,2.1928
"103136",10.4276,4.691
"103140",0.6608,-1.553
"103142",1.2622,-2.6064
"103149",0.5051,-4.1978
"103161",1.8408,2.4948
"103172",-4.9228,-4.6825
"103175",3.7025,-0.5456
"103199",-13.8537,-6.479
"103213",2.6409,7.1703
"103220",-1.1384,2.9343
"103236",-2.2743,-5.3586
"103266",-4.3153,-2.5269
"103268",-3.0262,0.6015
"103284",3.303,1.8083
"103406",-2.9306,-2.343
"103425",2.8645,3.4218
"103466",1.0992,-1.6695
"103468",0.9426,1.3835
"103511",3.9335,2.6551
"103534",-5.6379,-2.7118
"103537",-4.7421,-6.225
"103551",-4.6732,-4.0147
"103554",4.3881,1.449
"103573",4.0276,1.8076
"103583",5.6377,5.407
"103655",2.1363,-1.7928
"103677",2.3023,0.5858
"103694",-3.9725,-1.5098
"103710",2.455,1.2429
"103711",0.2181,-2.2957
"103712",-7.2282,-2.4073
"103724",5.7279,4.0418
"103733",-6.1086,-1.2935
"103737",1.0582,-0.999
"103742",-4.9047,-4.479
"103743",-4.5014,-5.3605
"103765",0.6761,2.6192
"103768",-11.0678,-3.4634
"103775",1.3945,-0.7124
"103784",-1.9485,0.3201
"103806",1.6141,1.9
"103836",-7.2049,-2.3341
"103841",-0.1869,1.3809
"103844",1.1624,2.298
"103850",-0.7564,-0.0551
"103889",0.7857,-0.4663
"103963",-1.2271,-2.0195
"103964",0.9285,-1.7248
"103967",-13.1204,-8.2414
"103968",1.2584,0.1292
"103978",-11.6112,-13.3477
"103988",10.4175,0.269
"104001",-11.9941,-4.2985
"104002",0.872,2.3774
"104009",2.4374,1.4145
"104010",-0.2458,-3.1736
"104015",-11.007,-5.9439
"104027",5.2764,3.9942
"104069",-13.089,-6.6615
"104079",-5.4076,1.5565
"104080",-5.293,-4.6132
"104082",-8.9108,-4.0161
"104086",-2.3888,-5.7198
"104099",-0.1202,-2.4903
"104103",-7.17625,-4.54885
"104110",5.834,6.0048
"104111",-3.5685,-4.033
"104112",-6.3424,-7.0569
"104130",-7.09255,-4.08385
"104156",0.9384,-5.5327
"104158",1.7595,-1.0266
"104174",-7.675,-7.2786
"104175",-3.5523,-2.8401
"104183",4.3187,1.4797
"104184",-1.1236,-1.3654
"104215",11.4353,-3.6832
"104245",-4.642,-3.3265
"104248",2.9301,0.8779
"104252",-5.2766,-3.1281
"104263",8.9238,3.1967
"104271",1.958,-1.3759
"104303",0.1085,-1.5496
"104307",-0.981166666666667,-3.93536666666667
"104318",8.8398,1.4592
"104346",3.4068,0.5845
"104348",-1.8709,1.8865
"104349",5.3274,2.7473
"104360",1.3452,-0.4262
"104362",-1.3978,0.3762
"104367",1.59373333333333,-0.7121
"104368",0.29484,-0.06168
"104369",-1.115,-1.4242
"104382",-3.4849,0.0786
"104383",-6.4321,-3.7124
"104384",-3.6324,1.5556
"104394",2.4163,2.6978
"104401",-3.157,-2.5506
"104416",6.3767,1.437
"104418",-11.1322,-5.7011
"104433",1.8132,-0.6971
"104443",-0.1996,-0.8409
"104444",-0.6428,-0.0858
"104445",0.1541,0.3395
"104457",0.5727,0.9738
"104458",26.4478,18.9889
"104479",-0.606,-3.4232
"104570",3.8032,2.973
"104582",3.5423,0.6253
"104601",1.2233,1.6902
"104625",-2.6915,-3.3398
"104662",11.9332,9.8418
"104681",5.4069,5.2403
"104709",3.792,0.4292
"104718",-10.1434,-5.7501
"104721",1.5151,2.6602
"104725",-1.6859,-3.5621
"104732",2.2835,-0.0873
"104759",14.9336,12.0185
"104771",-13.0958,-3.6229
"104776",-8.9666,-6.5988
"104799",-4.7721,-1.339
"104806",-2.7347,1.8246
"104816",9.8426,10.5739
"104831",12.0669,8.1981
"104836",4.3928,1.7268
"104859",-8.0904,-6.0245
"104871",1.592,0.4518
"104884",-3.0815,-0.45565
"104885",-4.5185,0.1536
"104886",-5.701,-8.4239
"104910",0.448,0.3611
"104923",-8.1749,-3.6523
"104943",2.4278,-0.2111
"105000",-14.583,-11.3423
"105005",-6.98,-7.6109
"105014",-2.4602,0.2855
"105083",2.6172,1.0513
"105148",12.60425,12.2599
"105171",5.2754,3.6477
"105193",-0.8244,-0.4866
"105203",2.7161,5.4041
"105239",-0.8131,1.671
"105242581",0.425,0.4133
"105242657",-1.8542,-1.432
"105243",-2.9043,2.0408
"105243233",2.5219,1.6614
"105243282",-3.379,2.0863
"105243866",-2.2151,-2.6568
"105244158",3.6258,-0.0013
"105245",0.5503,2.3541
"105245705",-0.0694,-0.1662
"105245866",-3.2546,-0.5585
"105246",-2.4288,0.0623
"105246016",-0.8606,-1.7731
"105246056",-0.4789,1.6401
"105246089",-2.0489,-1.4054
"105246244",0.346,-3.7829
"105246278",-9.0567,-5.0317
"105246409",-3.3778,-1.5276
"105246531",-2.19275,-1.94025
"105246632",-0.2513,-1.4272
"105246961",-6.30715,-2.4554
"105278",-1.1224,0.9976
"105298",-12.105,-8.4039
"105348",0.3209,-2.1316
"105349",-2.7107,-3.1682
"105351",-0.5017,-0.431
"105352",-3.1428,-5.3077
"105355",3.3677,-1.3832
"105372",2.6355,1.1594
"105377",-5.5996,-3.7113
"105387",-5.3493,-5.2995
"105418",0.2097,2.762
"105428",-3.6285,0.3672
"105439",-14.761,-11.7813
"105440",-4.9002,-5.8309
"105445",-11.7246,-8.2242
"105446",-3.0287,-0.7596
"105450",6.443,6.8753
"105501",5.3197,-0.3523
"105504",3.613,-1.3975
"105511",0.8253,-2.2609
"105513",-3.9398,-5.1838
