"","GSE42264_Measles_vs_Control"
"102635502",0.0431669762147265
"102635561",0.0487098109562578
"102635569",0.0617996604414262
"102635639",0.0458378672470076
"102635685",0.0661029032178765
"102635783",0.0726775370092255
"102635948",0.0726779995072678
"102635958",0.0578300229698689
"102635985",0.0696936021590729
"102636142",0.0619085173501577
"102636151",0.0522388059701493
"102636203",0.0638297872340426
"102636313",0.0649763764793937
"102636582",0.0748371335504886
"102636681",0.0570202329858982
"102636700",0.0686883864945473
"102636737",0.0607698961937716
"102636803",0.0775006704210244
"102636808",0.0567558720026189
"102636980",0.0491329479768786
"102637001",0.0769230769230769
"102637100",0.0592386815827014
"102637176",0.0511454448588173
"102637283",0.0641653072321914
"102637354",0.0688909706708943
"102637419",0.0569805474264073
"102637492",0.0478234673896671
"102637542",0.058641975308642
"102637873",0.0489356288694767
"102637966",0.0450132391879965
"102638038",0.0473771702992242
"102638039",0.0610997963340122
"102638080",0.0496837111228255
"102638259",0.0491803278688525
"102638292",0.0571981210279083
"102638354",0.0883607104453261
"102638465",0.0501278428206163
"102638632",0.054401081263727
"102638722",0.0555401662049861
"102638744",0.0643095768374165
"102638854",0.0425555071832825
"102638888",0.0510394042817251
"102638940",0.0543828901413385
"102638947",0.0659404785061272
"102639375",0.063283285767465
"102639518",0.0472016183412003
"102639568",0.0554225973044464
"102639781",0.066923304708321
"102639888",0.0597334602570205
"102639979",0.0480739046594018
"102640117",0.0504373867129009
"102640178",0.0671066387872452
"102640192",0.0635127584280127
"102640298",0.0795484038411627
"102640338",0.0563386261356882
"102640368",0.0654613466334165
"102640379",0.0603246904928755
"102640387",0.0648366013071895
"102640451",0.071806500377929
"102640479",0.0713060829981604
"102640589",0.0568008705114255
"102640749",0.0515594157125938
"102640772",0.0743449116392444
"102640779",0.0429297261346692
"102640815",0.0501402952299622
"102640864",0.0497189796800692
"102641621",0.0642749692300679
"102641779",0.05443818718155
"102642321",0.092601118053272
"102644",0.0375849660135946
"102657",0.0315032204446291
"102688",0.0757622420696027
"102693",0.044785516983881
"102747",0.0422293958758812
"102774",0.0355425907825317
"102791",0.0378468945703061
"102857",0.0554193026362142
"102866",0.0420874060909605
"102902673",0.072762395363812
"102920",0.0600681765530023
"102941",0.0472982456140351
"102954",0.0368624089155594
"102991",0.0671912832929782
"103012",0.0474405326478131
"103080",0.0622329983576439
"103098",0.0373069796170476
"103135",0.0358062928763713
"103136",0.0400763849011379
"103140",0.0698380566801619
"103142",0.0678242517267843
"103149",0.0705440600782935
"103161",0.0662995053846424
"103164605",0.064605127026095
"103172",0.0475205471813192
"103175",0.0566395354881556
"103199",0.0318552834767262
"103213",0.0512159934047815
"103220",0.0670309653916211
"103236",0.0415315277368266
"103266",0.0416662213480688
"103268",0.0415461314519114
"103284",0.0353100393700787
"103406",0.0419544900446973
"103425",0.057412319481285
"103466",0.0357504694561292
"103468",0.0325237979009031
"103511",0.0578620052105219
"103517",0.0454730555178499
"103534",0.0286201968879009
"103537",0.044366243539317
"103551",0.110065936724941
"103554",0.0415393749287661
"103573",0.0322769795191623
"103583",0.0347360129938347
"103655",0.0520069054812257
"103677",0.0843988508029367
"103694",0.0294679399727149
"103710",0.0509801136057233
"103711",0.0362409051926854
"103712",0.031864060990014
"103724",0.0350501436274757
"103733",0.0376843255051884
"103737",0.0325263626912223
"103742",0.0286661795289753
"103743",0.0443171758414482
"103765",0.049539583190684
"103768",0.0327711028958718
"103775",0.0777148739063304
"103784",0.0493035549906158
"103806",0.038002104988162
"103836",0.0442928308425384
"103841",0.067757150717471
"103844",0.0599144079885877
"103850",0.0318165969316597
"103889",0.0731968402385942
"103963",0.0285033293009954
"103967",0.0472492275239998
"103978",0.0565982784285807
"103988",0.066149941996131
"104002",0.0408611599297012
"104009",0.0348820478302737
"104010",0.0524742773150416
"104015",0.0312441042705638
"104027",0.0732550861052494
"104069",0.0813330475782255
"104079",0.0380350980248183
"104080",0.0604590052766535
"104082",0.0278370604064211
"104086",0.0575748290000934
"104099",0.046379896797584
"104103",0.0670436899386205
"104110",0.0493132392216711
"104111",0.0388298151263117
"104112",0.0308583394037204
"104130",0.029956805033988
"104156",0.0633576633190727
"104158",0.0615075255576666
"104174",0.0489984591679507
"104175",0.055249175860441
"104183",0.0661016949152542
"104184",0.0345790468851869
"104215",0.0389859804109852
"104248",0.0493926205859883
"104252",0.051997733068858
"104263",0.0392474084726467
"104271",0.0860522022838499
"104318",0.0362759178406261
"104346",0.0330608984206969
"104348",0.0544544088496707
"104349",0.0586090602497493
"104360",0.0508873209322215
"104362",0.0847663713739795
"104382",0.127831072259749
"104383",0.0751876812011597
"104384",0.0617802961067446
"104394",0.0676156583629893
"104401",0.0380072239757899
"104416",0.0293150803536856
"104418",0.0422127071684808
"104443",0.0670201484623542
"104444",0.0334022038567493
"104445",0.0313183293946154
"104457",0.0447891343044856
"104458",0.0336002001501126
"104479",0.0466653366784214
"104522",0.05464981670847
"104570",0.039698994396953
"104582",0.062097702042974
"104601",0.0593548387096774
"104625",0.0403848161762272
"104662",0.0345115464935318
"104681",0.0480148747675818
"104692",0.0645790654570286
"104709",0.0608807167866566
"104718",0.0612529038893331
"104721",0.0395544451937717
"104725",0.0409938372727982
"104732",0.0516726842979899
"104759",0.0922059518186112
"104771",0.0297863703340418
"104776",0.0565442020665901
"104799",0.0310871651950064
"104806",0.05836996384552
"104816",0.0729340916694547
"104831",0.048689138576779
"104836",0.0462167645572818
"104859",0.0282597554725822
"104871",0.0428500697663951
"104884",0.0406105719400735
"104885",0.0392024388234325
"104886",0.0330077276248418
"104910",0.039695945945946
"104932",0.0532009484291642
"104940697",0.0708748061821638
"104943",0.076377174742875
"105000",0.0420398259157876
"105005",0.0367989918084436
"105014",0.0281471004243282
"105083",0.0321802091713596
"105148",0.0319126097285082
"105171",0.0457635232168502
"105180375",0.042527916369684
"105193",0.0317551963048499
"105203",0.0661030452486938
"105239",0.0421621621621622
"105242581",0.0745762711864407
"105242657",0.0570422535211268
"105242750",0.0477810171687723
